date,nav,cash,dividend_receivables,holdings_value,gross_exposure,positions,stale_positions,benchmark_nav,cumulative_fees,cumulative_notional,cumulative_dividends,cumulative_cash_interest,cumulative_delist_writeoff,benchmark_matched_nav
2024-04-29,1042331.3548060657,65403.77144889289,0,976927.5833571728,0.9372524186792195,20,0,924211.1330062272,20857.671604969535,24621862.021257076,0.0,0.0,0.0,941021.0922107274
2024-04-30,1056381.6287866943,65403.77144889289,0,990977.8573378014,0.9380869851703003,20,0,941200.4777742513,20857.671604969535,24621862.021257076,0.0,0.0,0.0,957234.0167623919
2024-05-01,1063649.226676321,65479.97706353594,0,998169.249612785,0.9384383728946553,20,0,952697.763471378,21046.20381707152,24884773.07793509,0.0,0.0,0.0,968203.2032139286
2024-05-02,1058567.532760634,65479.97706353594,0,993087.5556970983,0.9381428439499077,20,0,956735.7983984208,21046.20381707152,24884773.07793509,0.0,0.0,0.0,972054.3245174987
2024-05-03,1060230.7799994312,65479.97706353594,0,994750.8029358953,0.9382398829587167,20,0,956446.3658288192,21046.20381707152,24884773.07793509,0.0,0.0,0.0,971778.4479061341
2024-05-06,1075856.363492661,65479.97706353594,0,1010376.386429125,0.9391368780392192,20,0,975667.2456148596,21046.20381707152,24884773.07793509,0.0,0.0,0.0,990101.3303108829
2024-05-07,1074894.4970149435,65479.97706353594,0,1009414.5199514076,0.939082414836639,20,0,978683.369240742,21046.20381707152,24884773.07793509,0.0,0.0,0.0,992975.788208908
2024-05-08,1076038.983018637,65479.97706353594,0,1010559.0059551011,0.9391472073996396,20,0,978094.7610329232,21046.20381707152,24884773.07793509,0.0,0.0,0.0,992414.9643612627
2024-05-09,1082167.6830669753,65479.97706353594,0,1016687.7060034395,0.9394918383831619,20,0,980943.3349944126,21046.20381707152,24884773.07793509,0.0,0.0,0.0,995129.3624643433
2024-05-10,1083336.4796540062,65479.97706353594,0,1017856.5025904704,0.9395571197930594,20,0,983825.1461515364,21046.20381707152,24884773.07793509,0.0,0.0,0.0,997875.9544603478
2024-05-13,1092046.4826257443,65479.97706353594,0,1026566.5055622085,0.9400392033623934,20,0,996571.6548795224,21046.20381707152,24884773.07793509,0.0,0.0,0.0,1010023.0675425188
2024-05-14,1089717.9641013737,65479.97706353594,0,1024237.9870378377,0.9399110786270891,20,0,996580.9407459056,21046.20381707152,24884773.07793509,0.0,0.0,0.0,1010031.9144433283
2024-05-15,1100285.7412645444,65479.97706353594,0,1034805.7642010086,0.9404882071921785,20,0,1015772.0927382336,21046.20381707152,24884773.07793509,0.0,0.0,0.0,1028313.3515649692
2024-05-16,1097563.7325115586,65479.97706353594,0,1032083.7554480227,0.9403406151971715,20,0,1007922.0290074162,21046.20381707152,24884773.07793509,0.0,0.0,0.0,1020839.3061113687
2024-05-17,1105267.381919411,65479.97706353594,0,1039787.4048558752,0.9407564376415206,20,0,1014420.2493846758,21046.20381707152,24884773.07793509,0.0,0.0,0.0,1027028.1578208129
2024-05-20,1099938.840054805,65479.97706353594,0,1034458.8629912691,0.9404694382277897,20,0,1005495.8726461786,21046.20381707152,24884773.07793509,0.0,0.0,0.0,1018528.1458888833
2024-05-21,1111404.806609165,65479.97706353594,0,1045924.829545629,0.9410835937777597,20,0,1022258.8463767415,21046.20381707152,24884773.07793509,0.0,0.0,0.0,1034497.5420236704
2024-05-22,1105225.62222204,65479.97706353594,0,1039745.6451585043,0.940754199190669,20,0,1019405.5314632795,21046.20381707152,24884773.07793509,0.0,0.0,0.0,1031780.1863035067
2024-05-23,1099516.2790546936,65479.97706353594,0,1034036.3019911578,0.9404465597182134,20,0,1019055.2184742658,21046.20381707152,24884773.07793509,0.0,0.0,0.0,1031446.6273490068
2024-05-24,1109321.8398085127,65479.97706353594,0,1043841.8627449768,0.9409729668038999,20,0,1027752.1860458322,21046.20381707152,24884773.07793509,0.0,0.0,0.0,1039725.1151972258
